ID,Type,SKU,Parent,Regular price,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global,Attribute 6 name,Attribute 6 value(s),Attribute 6 visible,Attribute 6 global
,variation,htphtg-series-017,htphtg-series,0,Artikelnummer,N5300012,1,0,Omschrijving,HTG 1000,1,0,Capaciteit,1000,1,0,Balkbreedt,160-300,1,0,Gewicht,18,1,0,,,,
,variation,htphtg-series-018,htphtg-series,0,Artikelnummer,N5300013,1,0,Omschrijving,HTG 2000,1,0,Capaciteit,2000,1,0,Balkbreedt,160-300,1,0,Gewicht,25,1,0,,,,
,variation,htphtg-series-019,htphtg-series,0,Artikelnummer,N5300014,1,0,Omschrijving,HTG 3000,1,0,Capaciteit,3000,1,0,Balkbreedt,160-300,1,0,Gewicht,45,1,0,,,,
,variation,htphtg-series-020,htphtg-series,0,Artikelnummer,N5300015,1,0,Omschrijving,HTG 5000,1,0,Capaciteit,5000,1,0,Balkbreedt,180-300,1,0,Gewicht,65,1,0,,,,
,variation,htphtg-series-021,htphtg-series,0,Artikelnummer,N5300016,1,0,Omschrijving,HTG 8000,1,0,Capaciteit,8000,1,0,Balkbreedt,125-310,1,0,Gewicht,117,1,0,,,,
,variation,htphtg-series-022,htphtg-series,0,Artikelnummer,192045613,1,0,Omschrijving,HTG 30000,1,0,Capaciteit,30000,1,0,Balkbreedt,175-305,1,0,Gewicht,248,1,0,,,,
,variation,htphtg-series-023,htphtg-series,0,Artikelnummer,192045614,1,0,Omschrijving,HTG 50000,1,0,Capaciteit,50000,1,0,Balkbreedt,175-305,1,0,Gewicht,489,1,0,,,,
,variation,unoplus-series-001,unoplus-series,0,Artikelnummer,192049841,1,0,Omschrijving,Model UNOplus-A,1,0,Capaciteit,750,1,0,Hijshoogte,1.5,1,0,Aantal parten,1,1,0,,,,
,variation,unoplus-series-002,unoplus-series,0,Artikelnummer,192049940,1,0,Omschrijving,Model UNOplus-A,1,0,Capaciteit,1.500,1,0,Hijshoogte,1.5,1,0,Aantal parten,1,1,0,,,,
,variation,unoplus-series-003,unoplus-series,0,Artikelnummer,192050025,1,0,Omschrijving,Model UNOplus-A,1,0,Capaciteit,3.000,1,0,Hijshoogte,1.5,1,0,Aantal parten,1,1,0,,,,
,variation,unoplus-series-004,unoplus-series,0,Artikelnummer,192050579,1,0,Omschrijving,Model UNOplus-A,1,0,Capaciteit,6.000,1,0,Hijshoogte,1.5,1,0,Aantal parten,2,1,0,,,,
,variation,unoplus-series-005,unoplus-series,0,Artikelnummer,192071115,1,0,Omschrijving,Model UNOplus-A,1,0,Capaciteit,750,1,0,Hijshoogte,3.0,1,0,Aantal parten,1,1,0,,,,
,variation,unoplus-series-006,unoplus-series,0,Artikelnummer,192071116,1,0,Omschrijving,Model UNOplus-A,1,0,Capaciteit,1.500,1,0,Hijshoogte,3.0,1,0,Aantal parten,1,1,0,,,,
,variation,unoplus-series-007,unoplus-series,0,Artikelnummer,192071117,1,0,Omschrijving,Model UNOplus-A,1,0,Capaciteit,3.000,1,0,Hijshoogte,3.0,1,0,Aantal parten,1,1,0,,,,
,variation,unoplus-series-008,unoplus-series,0,Artikelnummer,192071118,1,0,Omschrijving,Model UNOplus-A,1,0,Capaciteit,6.000,1,0,Hijshoogte,3.0,1,0,Aantal parten,2,1,0,,,,
,variation,unoplus-series-009,unoplus-series,0,Artikelnummer,192071119,1,0,Omschrijving,Model UNOplus-A,1,0,Capaciteit,750,1,0,Hijshoogte,6.0,1,0,Aantal parten,1,1,0,,,,
,variation,unoplus-series-010,unoplus-series,0,Artikelnummer,192071120,1,0,Omschrijving,Model UNOplus-A,1,0,Capaciteit,1.500,1,0,Hijshoogte,6.0,1,0,Aantal parten,1,1,0,,,,
,variation,unoplus-series-011,unoplus-series,0,Artikelnummer,192071121,1,0,Omschrijving,Model UNOplus-A,1,0,Capaciteit,3.000,1,0,Hijshoogte,6.0,1,0,Aantal parten,1,1,0,,,,
,variation,unoplus-series-012,unoplus-series,0,Artikelnummer,192071122,1,0,Omschrijving,Model UNOplus-A,1,0,Capaciteit,6.000,1,0,Hijshoogte,6.0,1,0,Aantal parten,2,1,0,,,,
,variation,itp-series-001,itp-series,0,Artikelnummer,N04900044,1,0,Omschrijving,YL ITP 500,1,0,Capaciteit,500,1,0,Balkbreedte,50-180,1,0,Hijshoogte,3.0,1,0,Aantal parten,1,1,0
,variation,itp-series-002,itp-series,0,Artikelnummer,N04900045,1,0,Omschrijving,YL ITP 1000,1,0,Capaciteit,1.000,1,0,Balkbreedte,50-180,1,0,Hijshoogte,3.0,1,0,Aantal parten,1,1,0
,variation,itp-series-003,itp-series,0,Artikelnummer,N04900046,1,0,Omschrijving,YL ITP 2000,1,0,Capaciteit,2.000,1,0,Balkbreedte,58-180,1,0,Hijshoogte,3.0,1,0,Aantal parten,1,1,0
,variation,itp-series-004,itp-series,0,Artikelnummer,N04900047,1,0,Omschrijving,YL ITP 3000,1,0,Capaciteit,3.000,1,0,Balkbreedte,74-180,1,0,Hijshoogte,3.0,1,0,Aantal parten,1,1,0
,variation,itp-series-005,itp-series,0,Artikelnummer,N04900020,1,0,Omschrijving,YL ITP 5000,1,0,Capaciteit,5.000,1,0,Balkbreedte,98-180,1,0,Hijshoogte,3.0,1,0,Aantal parten,2,1,0
,variation,itp-series-006,itp-series,0,Artikelnummer,N04900056,1,0,Omschrijving,YL ITG 500,1,0,Capaciteit,500,1,0,Balkbreedte,50-180,1,0,Hijshoogte,3.0,1,0,Aantal parten,1,1,0
