Type,Capaciteit (kg),Snelheid (m/min),Parten
ST 5016-8/2 1/1,1.600,8/2,1/1
"ST 5020-6/1,5 1/1",2.000,"6/1,5",1/1
ST 5020-8/2 1/1,2.000,8/2,1/1
"ST 5025-6/1,5 1/1",2.500,"6/1,5",1/1
ST 5025-8/2 1/1,2.500,8/2,1/1
ST 5016-8/2 2/1,3.200,8/2,2/1
"ST 5020-6/1,5 2/1",4.000,"6/1,5",2/1
ST 5020-8/2 2/1,4.000,8/2,2/1
"ST 5025-6/1,5 2/1",5.000,"6/1,5",2/1
ST 5025-8/2 2/1,5.000,8/2,2/1
