Type,Capaciteit (kg),Snelheid (m/min),Parten
ST 3210-8/2 1/1,1000,8/2,1/1
ST 3210-16/4 1/1,1.000,16/4,1/1
ST 3012-8 1/1,1.250,8,1/1
ST 3012-8/2 1/1,1.250,8/2,1/1
 ST 3212-8/2 1/1,1.250,8/2,1/1
ST 3212-16/4 1/1,1.250,16/4,1/1
 ST 3016-8 1/1,1.600,8,1/1
ST 3016-8/2 1/1,1.600,8/2,1/1
ST 3216-8/2 1/1,1.600,8/2,1/1
ST 3216-12/3 1/1,1.600,12/3,1/1
ST 3210-8/2 2/1,2.000,8/2,2/1
ST 3210-12/3 2/1,2.000,12/3,2/1
ST 3012-8 2/1,2.500,8,2/1
ST 3012-8/2 2/1,2.500,8/2,2/1
ST 3212-8/2 2/1,2.500,8/2,2/1
ST 3212-12/3 2/1,2.500,12/3,2/1
ST 3016-8 2/1,3.200,8,2/1
ST 3016-8/2 2/1,3.200,8/2,2/1
ST 3216-8/2 2/1,3.200,8/2,2/1
ST 3216-12/3 2/1,3.200,12/3,2/1
