Type,Capaciteit (kg),Snelheid (m/min),Parten
ST 0501-8 1/1,125,8,1/1
ST 0501-8/2 1/1,125,8/2,1/1
ST 0501-16 1/1,125,16,1/1
ST 0501-16/4 1/1,125,16/4,1/1
ST 0502-8 1/1,250,8,1/1
ST 0502-8/2 1/1,250,8/2,1/1
ST 0503-6 1/1,320,6,1/1
"ST 0503-6/1,5 1/1",320,"6/1,5",1/1
ST 0502-8 2/1,500,8,2/1
ST 0502-8/2 2/1,500,8/2,2/1
ST 0503-6 2/1,630,6,2/1
"ST 0503-6/1,5 2/1",630,"6/1,5",2/1
