Type,Capaciteit (kg),Snelheid (m/min),Parten
SH 4008-20 1/1 *2,800,"3,3/20",1/1 *2
SH 4010-20 1/1 *2,1000,"3,3/20",1/1 *2
SH 4012-20 1/1 *2,1250,"3,3/20",1/1 *2
SH 4008-25 2/1,1600,"2/12,5",2/1
SH 4008-40 2/1 *3,1600,"3,3/20",2/1 *3
"SH 4016-16 1/1 *2,3",1600,"2,6/16","1/1 *2,3"
SH 4010-25 2/1,2000,"2/12,5","2/12,5"
SH 4010-40 2/1 *3,2000,"3,3/20",2/1 *3
SH 4012-20 2/1,2.500,"1,6/10",2/1
SH 4012-32 2/1 *3,2.500,"2,6/16",2/1 *3
SH 4008-25 4/1,3200,"1/6,3",4/1
SH 4008-40 4/1,3200,"1,6/10",4/1
SH 4016-16 2/1,3200,"1,3/8",2/1
SH 4016-25 2/1 *3,3200,"2/12,5",2/1 *3
SH 4010-25 4/1,4000,"1/6,3",4/1
SH 4010-40 4/1,4000,"1,6/10",4/1
SH 4012-20 4/1,5000,"0,8/5",4/1
SH 4012-32 4/1,5000,"1,3/8",4/1
SH 4016-16 4/1,6300,"0,6/4",4/1
SH 4016-25 4/1,6300,"1/6,3",4/1
SH 4008-20 2/2-1 *2,800,"3,3/20",2/2-1 *2
SH 4010-20 2/2-1 *2,1000,"3,3/20",2/2-1 *2
SH 4012-20 2/2-1 *2,1250,"3,3/20",2/2-1 *2
SH 4008-25 4/2-1,1600,"2/12,5",4/2-1
SH 4008-40 4/2-1,1600,"3,3/20",4/2-1
SH 4016-16 2/2-1 *2,1600,"2,6/16",2/2-1 *2
SH 4010-25 4/2-1,2000,"2/12,5",4/2-1
SH 4010-40 4/2-1,2000,"3,3/20",4/2-1
SH 4012-20 4/2-1,2500,"1,6/10",4/2-1
SH 4012-32 4/2-1,2500,"2,6/16",4/2-1
SH 4016-16 4/2-1,3200,"1,3/8",4/2-1
SH 4016-25 4/2-1,3200,"2/12,5",4/2-1
SH 4008-20 2/2-2,2x 400,"3,3/20",2/2-2
SH 4010-20 2/2-2,2x 500,"3,3/20",2/2-2
SH 4012-20 2/2-2,2x 630,"3,3/20",2/2-2
SH 4008-25 4/2-2,2x 800,"2/12,5",4/2-2
SH 4008-40 4/2-2,2x 800,"3,3/20",4/2-2
SH 4016-16 2/2-2,2x 800,"2,6/16",2/2-2
SH 4010-25 4/2-2,2x 1000,"2/12,5",4/2-2
SH 4010-40 4/2-2,2x 1000,"3,3/20",4/2-2
SH 4012-20 4/2-2,2x 1250,"1,6/10",4/2-2
SH 4012-32 4/2-2,2x 1250,"2,6/16",4/2-2
SH 4016-16 4/2-2,2x 1600,"1,3/8",4/2-2
SH 4016-25 4/2-2,2x 1600,"2/12,5",4/2-2
