Type,Capaciteit (kg),Snelheid (m/min),Parten
SH 6040-12 1/1,4000,"2/12,5",1/1
SH 6040-20 1/1 *3,4000,"3,3/20",1/1
SHR 6025-20 2/1,5000,"1,6/10",2/1
SHR 6025-32 2/1 *3,5000,"2,6/16",2/1
SHR 6025-40 2/1 *3,5000,"3,3/20",2/1
SH 6050-16 1/1 *3,5000,"2,6/16",1/1
SH 6050-20 1/1 *3,5000,"3,3/20",1/1
SHR 6032-16 2/1,6.300,"1,3/8",2/1
SHR 6032-25 2/1,6.300,"2/12,5",2/1
SHR 6032-40 2/1 *3,6.300,"3,3/20",2/1
SH 6063-12 1/1,6.300,"2/12,5",1/1
SH 6063-20 1/1 *3,6.300,"3,3/20",1/1
SHR 6040-12 2/1,8.000,"1/6,3",2/1
SHR 6040-20 2/1,8.000,"1,6/10",2/1
SHR 6040-32 2/1 *3,8.000,"2,6/16",2/1
SH 6040-12 2/1,8.000,"1/6,3",2/1
SH 6040-20 2/1,8.000,"1,6/10",2/1
SH 6040-32 2/1 *3,8.000,"2,6/16",2/1
SHR 6025-20 4/1,10.000,"0,8/5",4/1
SHR 6025-32 4/1,10.000,"1,3/8",4/1
SHR 6025-40 4/1,10.000,"1,6/10",4/1
SH 6050-16 2/1,10.000,"1,3/8",2/1
SH 6050-25 2/1,10.000,"2/12,5",2/1
SH 6050-32 2/1 *3,10.000,"2,6/16",2/1
SH 6050-40 2/1 *3,10.000,"3,3/20",2/1
SHR 6032-16 4/1,12.500,"0,6/4",4/1
SHR 6032-25 4/1,12.500,"1/6,3",4/1
SHR 6032-40 4/1,12.500,"1,6/10",4/1
SH 6063-12 2/1,12.500,"1/6,3",2/1
SH 6063-20 2/1,12.500,"1,6/10",2/1
SH 6063-25 2/1,12.500,"2/12,5",2/1
SH 6063-32 2/1 *3,12.500,"2,6/16",2/1
SHR 6040-12 4/1,16.000,"0,5/3,1",4/1
SHR 6040-20 4/1,16.000,"0,8/5",4/1
SHR 6040-32 4/1,16.000,"1,3/8",4/1
SH 6040-12 4/1 *2,16.000,"0,5/3,1",4/1
SH 6040-20 4/1 *2,16.000,"0,8/5",4/1
SH 6040-32 4/1 *2,16.000,"1,3/8",4/1
SH 6050-16 4/1 *2,20.000,"0,6/4",4/1
SH 6050-25 4/1 *2,20.000,"1/6,3",4/1
SH 6050-32 4/1 *2,20.000,"1,3/8",4/1
SH 6050-40 4/1 *2,20.000,"1,6/10",4/1
SH 6063-12 4/1 *2,25.000,"0,5/3,1",4/1
SH 6063-20 4/1 *2,25.000,"0,8/5",4/1
SH 6063-25 4/1 *2,25.000,"1/6,3",4/1
SH 6063-32 4/1 *2,25.000,"1,3/8",4/1
SH 6080-10 4/1,32.000,"0,4/2,5",4/1
SH 6080-16 4/1,32.000,"0,6/4",4/1
SH 6080-20 4/1,32.000,"0,8/5",4/1
SH 6040-12 2/2-1,4.000,"2/12,5",2/2-1
SH 6040-20 2/2-1,4.000,"3,3/20",2/2-1
SH 6025-20 4/2-1,5.000,"1,6/10",4/2-1
SH 6025-32 4/2-1,5.000,"2,6/16",4/2-1
