Type,Capaciteit (kg),Snelheid (m/min),Parten
SH 6025-40 4/2-1,5.000,"3,3/20",4/2-1
SH 6050-16 2/2-1,5.000,"2,6/16",2/2-1
SH 6050-20 2/2-1,5.000,"3,3/20",2/2-1
SH 6032-16 4/2-1,6.300,"1,3/8",4/2-1
SH 6032-25 4/2-1,6.300,"2/12,5",4/2-1
SH 6032-40 4/2-1,6.300,"3,3/20",4/2-1
SH 6063-12 2/2-1,6.300,"2/12,5",2/2-1
SH 6063-20 2/2-1,6.300,"3,3/20",2/2-1
SH 6040-12 4/2-1,8.000,"1/6,3",4/2-1
SH 6040-20 4/2-1,8.000,"1,6/10",4/2-1
SH 6040-32 4/2-1,8.000,"2,6/16",4/2-1
SH 6050-16 4/2-1,10.000,"1,3/8",4/2-1
SH 6050-25 4/2-1,10.000,"2/12,5",4/2-1
SH 6050-32 4/2-1,10.000,"2,6/16",4/2-1
SH 6050-40 4/2-1,10.000,"3,3/20",4/2-1
SH 6063-12 4/2-1,12.500,"1/6,3",4/2-1
SH 6063-20 4/2-1,12.500,"1,6/10",4/2-1
SH 6063-25 4/2-1,12.500,"2/12,5",4/2-1
SH 6063-32 4/2-1,12.500,"2,6/16",4/2-1
SH 6040-12 8/2-1,16.000,"0,5/3,1",8/2-1
SH 6040-20 8/2-1,16.000,"0,8/5",8/2-1
SH 6040-32 8/2-1,16.000,"1,3/8",8/2-1
SH 6050-16 8/2-1,20.000,"0,6/4",8/2-1
SH 6050-25 8/2-1,20.000,"1/6,3",8/2-1
SH 6050-32 8/2-1,20.000,"1,3/8",8/2-1
SH 6050-40 8/2-1,20.000,"1,6/10",8/2-1
SH 6063-12 8/2-1,25.000,"0,5/3,1",8/2-1
SH 6063-20 8/2-1,25.000,"0,8/5",8/2-1
SH 6063-25 8/2-1,25.000,"1/6,3",8/2-1
SH 6063-32 8/2-1,25.000,"1,3/8",8/2-1
SH 6025-20 2/2-2,2x 1250,"3,3/20",2/2-2
SH 6032-16 2/2-2,2x 1600,"2,6/16",2/2-2
SH 6032-25 2/2-2,2x 1600,"4,1/25",2/2-2
SH 6040-12 2/2-2,2x 2000,"2/12,5",2/2-2
SH 6040-20 2/2-2,2x 2000,"3,3/20",2/2-2
SH 6025-20 4/2-2,2x 2.500,"1,6/10",4/2-2
SH 6025-32 4/2-2,2x 2.500,"2,6/16",4/2-2
SH 6025-40 4/2-2,2x 2.500,"3,3/20",4/2-2
SH 6050-16 2/2-2,2x 2.500,"2,6/16",2/2-2
SH 6050-20 2/2-2,2x 2.500,"3,3/20",2/2-2
SH 6032-16 4/2-2,2x 3.200,"1,3/8",4/2-2
SH 6032-25 4/2-2,2x 3.200,"2/12,5",4/2-2
SH 6032-40 4/2-2,2x 3.200,"3,3/20",4/2-2
SH 6063-12 2/2-2,2x 3.200,"2/12,5",2/2-2
SH 6063-20 2/2-2,2x 3.200,"3,3/20",2/2-2
SH 6040-12 4/2-2,2x 4.000,"1/6,3",4/2-2
SH 6040-20 4/2-2,2x 4.000,"1,6/10",4/2-2
SH 6040-32 4/2-2,2x 4.000,"2,6/16",4/2-2
SH 6050-16 4/2-2,2x 5.000,"1,3/8",4/2-2
SH 6050-25 4/2-2,2x 5.000,"2/12,5",4/2-2
SH 6063-12 4/2-2,2x 6.300,"1/6,3",4/2-2
SH 6063-20 4/2-2,2x 6.300,"1,6/10",4/2-2
