ID,Type,SKU,Parent,Regular price,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global,Attribute 6 name,Attribute 6 value(s),Attribute 6 visible,Attribute 6 global
,variable,handpomp-hps-main,,,Model,"HPS-1/0,7 A, HPS-2/0,3 A, HPS-2/0,7 A, HPS-2/1,3 A, HPS-2/10 A, HPS-2/2 A, HPS-2/4 A, HPS-2/6 A",1,0,Verplaatsing (cm³),"single-stage, two-stage",1,0,Reservoir volume (l),"10000, 1300, 2000, 300, 4000, 6000, 700",1,0,Verplaatsing 1e fase (l/min),"11, 5",1,0,Verplaatsing 2e fase (l/min),"1, 2",1,0,Gewicht (kg),"10, 13, 21, 27, 3,5, 7, 9",1,0
,variation,handpomp-hps-main-001,handpomp-hps-main,0,Model,"HPS-1/0,7 A",1,0,Verplaatsing (cm³),single-stage,1,0,Reservoir volume (l),700,1,0,Verplaatsing 1e fase (l/min),,1,0,Verplaatsing 2e fase (l/min),2,1,0,Gewicht (kg),7,1,0
,variation,handpomp-hps-main-002,handpomp-hps-main,0,Model,"HPS-2/0,3 A",1,0,Verplaatsing (cm³),two-stage,1,0,Reservoir volume (l),300,1,0,Verplaatsing 1e fase (l/min),5,1,0,Verplaatsing 2e fase (l/min),1,1,0,Gewicht (kg),"3,5",1,0
,variation,handpomp-hps-main-003,handpomp-hps-main,0,Model,"HPS-2/0,7 A",1,0,Verplaatsing (cm³),two-stage,1,0,Reservoir volume (l),700,1,0,Verplaatsing 1e fase (l/min),11,1,0,Verplaatsing 2e fase (l/min),2,1,0,Gewicht (kg),7,1,0
,variation,handpomp-hps-main-004,handpomp-hps-main,0,Model,"HPS-2/1,3 A",1,0,Verplaatsing (cm³),two-stage,1,0,Reservoir volume (l),1300,1,0,Verplaatsing 1e fase (l/min),11,1,0,Verplaatsing 2e fase (l/min),2,1,0,Gewicht (kg),9,1,0
,variation,handpomp-hps-main-005,handpomp-hps-main,0,Model,HPS-2/2 A,1,0,Verplaatsing (cm³),two-stage,1,0,Reservoir volume (l),2000,1,0,Verplaatsing 1e fase (l/min),11,1,0,Verplaatsing 2e fase (l/min),2,1,0,Gewicht (kg),10,1,0
,variation,handpomp-hps-main-006,handpomp-hps-main,0,Model,HPS-2/4 A,1,0,Verplaatsing (cm³),two-stage,1,0,Reservoir volume (l),4000,1,0,Verplaatsing 1e fase (l/min),11,1,0,Verplaatsing 2e fase (l/min),2,1,0,Gewicht (kg),13,1,0
,variation,handpomp-hps-main-007,handpomp-hps-main,0,Model,HPS-2/6 A,1,0,Verplaatsing (cm³),two-stage,1,0,Reservoir volume (l),6000,1,0,Verplaatsing 1e fase (l/min),11,1,0,Verplaatsing 2e fase (l/min),2,1,0,Gewicht (kg),21,1,0
,variation,handpomp-hps-main-008,handpomp-hps-main,0,Model,HPS-2/10 A,1,0,Verplaatsing (cm³),two-stage,1,0,Reservoir volume (l),10000,1,0,Verplaatsing 1e fase (l/min),11,1,0,Verplaatsing 2e fase (l/min),2,1,0,Gewicht (kg),27,1,0
